"CAMPAIGN_PERFORMANCE_REPORT (Nov 1, 2021-Nov 30, 2021)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Get location details,289,3,1717866,0.00,Brook Insurance Associates LLC,paused,1.04%,2021-11-23
Sitelink,21,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-22
Phone calls,62,2,1667717,0.00,Brook Insurance Associates LLC,paused,3.23%,2021-11-20
Maps Pin Clicks,6,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-30
Driving direction,24,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-16
Maps Pin Clicks,16,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-19
Driving direction,267,2,6100247,0.00,Brook Insurance Associates LLC,paused,0.75%,2021-11-08
Phone calls,9,1,7778934,0.00,Brook Insurance Associates LLC,paused,11.11%,2021-11-18
Maps Pin Clicks,24,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-20
Headline,269,2,755049,0.00,Brook Insurance Associates LLC,paused,0.74%,2021-11-27
Driving direction,8,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-09
Sitelink,5,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-25
Maps Pin Clicks,140,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-02
Headline,253,3,4171744,0.00,Brook Insurance Associates LLC,paused,1.19%,2021-11-06
Driving direction,26,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-18
Headline,206,1,3510000,0.00,Brook Insurance Associates LLC,paused,0.49%,2021-11-01
Get location details,81,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-21
Driving direction,188,1,870020,0.00,Brook Insurance Associates LLC,paused,0.53%,2021-11-06
Driving direction,240,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-27
Sitelink,8,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-10
Phone calls,207,5,4667814,0.00,Brook Insurance Associates LLC,paused,2.42%,2021-11-29
Driving direction,68,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-25
Phone calls,19,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-13
Maps Pin Clicks,55,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-01
Get location details,261,1,1233991,0.00,Brook Insurance Associates LLC,paused,0.38%,2021-11-02
Driving direction,351,1,1146156,0.00,Brook Insurance Associates LLC,paused,0.28%,2021-11-11
Driving direction,217,3,3879857,0.00,Brook Insurance Associates LLC,paused,1.38%,2021-11-19
Sitelink,18,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-14
Driving direction,295,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-10
Maps Pin Clicks,226,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-21
Sitelink,1,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-27
Maps Pin Clicks,34,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-29
Sitelink,39,0,0,0.00,Brook Insurance Associates LLC,paused,0.00%,2021-11-23
Total, --, --, --, --, --, --, --, --
